plant.height	genotype
14.7759012421443	A
10.8248412247281	A
9.76027109092072	A
9.61207321481511	A
11.599318889277	A
8.25429117758146	A
15.5470584033656	A
12.5114686142163	A
6.10244108790052	A
2.25135913086221	A
11.5056776478418	A
10.4867395608278	A
2.53390863900263	A
11.5863204641695	A
7.60492422180415	A
13.2952059058584	A
7.79683811664429	A
5.02726621346803	A
13.1907035117294	A
10.8888189326504	A
7.71029058522535	A
16.3219853971736	A
9.13609320042443	A
10.382164820286	A
11.4680069253547	A
6.97961946069175	A
10.3540245775749	A
10.7139714252844	A
7.90286167858113	A
5.63983251735225	A
13.3084480861438	A
12.0105622535163	A
15.1609265474016	A
4.11627635363927	A
9.55770601874797	A
12.7795085090935	A
10.7284967449592	A
5.43162711253657	A
11.2864130643428	A
7.04946613506764	A
14.6399415174702	A
12.7430487887335	A
11.8018049551097	A
12.1614149326505	A
13.4674363913517	A
6.57902334979885	A
6.9880635963696	A
13.3217657542613	A
9.88559578727144	A
13.1552463847855	A
13.3339207764131	A
6.9191022756741	A
13.6516905843254	A
10.4892100479044	A
9.07825269193049	A
9.83954251025184	A
8.76279273291159	A
10.4104340414645	A
9.79017255091931	A
4.06261795129103	A
4.01904848620404	A
15.2170155510508	A
12.5050193391449	A
6.35931911898853	A
5.93436647471174	A
7.04206656529691	A
10.3016953759529	A
14.3227966049662	A
10.3092189290817	A
8.20556475685734	A
12.2780629700513	A
4.0835145801238	A
13.989553497666	A
14.2927734493386	A
8.13885684016627	A
9.53685659452813	A
7.83261587366065	A
7.14832760846899	A
13.7275516694828	A
14.8083220858404	A
10.2797636673653	A
7.61826679347738	A
11.2363964151368	A
7.90345802159296	A
10.5004892944716	A
11.5042016769116	A
8.16818251867544	A
11.1745816266082	A
10.435619046913	A
13.3908152382371	A
7.54594830198987	A
9.06075288473956	A
17.6215878252358	A
16.5477681481304	A
11.3039074741917	A
7.36630551619025	A
10.0157714319423	A
13.6948670072172	A
7.67210736017941	A
11.6759668153893	A
19.8734350390429	B
16.1185515770085	B
13.6185311128566	B
18.6959823987908	B
15.4163590834212	B
14.4539410684632	B
23.4807453017259	B
15.7224210771588	B
8.13080892789884	B
21.5397420914248	B
20.2352690976788	B
30.8112441723418	B
15.8926213590261	B
24.0470015932513	B
31.8393306649901	B
16.0778541022075	B
12.7078979516139	B
24.1718818892117	B
18.1025461184627	B
26.045977418223	B
13.6597786940472	B
20.1293247961586	B
24.5356341778909	B
22.8796724215769	B
21.0181547470699	B
3.1467024774355	B
19.211849481346	B
17.0560330355146	B
18.5609930733553	B
18.8438215592839	B
22.6344155603875	B
27.4589034062871	B
19.8503005317766	B
20.5296705109038	B
21.7082962065677	B
20.5519832971519	B
17.1396111430538	B
12.6021870387469	B
20.7468817955418	B
23.5269053492743	B
11.5676624406082	B
22.4977431382651	B
23.0848417524296	B
19.8272926035458	B
27.6822175361523	B
19.1396304967916	B
23.5314747521582	B
25.0573336357345	B
23.8728140533754	B
13.5582464543338	B
14.7401446375267	B
10.1718611395164	B
11.703387657929	B
16.6286176593094	B
18.2395230977562	B
21.5093210579267	B
25.9533818491945	B
25.7062704982066	B
12.6712223510289	B
15.2460504422204	B
11.3261294883631	B
20.4453975643802	B
11.6337581949128	B
22.4842676889741	B
20.7557445751965	B
21.9265370881396	B
22.2839670577666	B
7.71520877138532	B
26.202020207457	B
14.9250234736773	B
16.0685382876027	B
20.2451737346251	B
19.8662566654222	B
25.5549797738844	B
13.0716677968679	B
26.1665634080902	B
20.1685133444777	B
17.318927215598	B
9.52598904724951	B
16.3202292469448	B
20.3255672463292	B
17.6374282404321	B
23.607197798405	B
26.7630078824615	B
20.0380436094838	B
19.072271220783	B
20.8197997363257	B
26.2621164682638	B
14.6301882436368	B
20.4579358887924	B
23.8508847434277	B
32.8130156145532	B
20.2176195194656	B
18.9839656597612	B
16.2804420956517	B
30.8337319950768	B
24.8605021652942	B
19.123565914748	B
24.3706683875125	B
23.7217965475958	B
16.8948340473662	C
9.89177885805016	C
27.6251350668759	C
20.1555688070395	C
18.6094954253431	C
19.9937604175584	C
12.8873326552604	C
19.1561242600677	C
14.3812659102114	C
7.87534507379927	C
15.8019037620249	C
13.9206667046963	C
19.4784351462896	C
15.6761684349392	C
13.5286191613141	C
16.5161486211608	C
16.3766377931011	C
14.8516886194843	C
16.9645988814968	C
24.2864197372364	C
12.3544907911147	C
19.4068318393784	C
14.1941969516883	C
24.1007029941509	C
12.8959292240884	C
21.3994789419019	C
19.9089854208173	C
13.6545435002288	C
17.6984211737681	C
13.9239440211555	C
9.07618990730142	C
15.6166169517366	C
10.5159166987671	C
14.5675045500848	C
20.7693893655681	C
18.2062832985304	C
16.9235269272234	C
11.9133788310907	C
12.7000527462842	C
14.9524957301854	C
14.3985217967278	C
17.4740006668609	C
16.6892127487475	C
17.247781865877	C
22.7507377690881	C
9.04194094634943	C
14.2816192665401	C
21.2833919409692	C
20.4610519234564	C
26.6186621717017	C
19.1524919627656	C
8.78171107789057	C
15.6792092321575	C
16.4896343535124	C
17.5610477860737	C
9.80031073327573	C
20.7664239349977	C
11.1607569815413	C
17.9743536739778	C
9.65623887403759	C
18.2150959635115	C
11.7333096352544	C
10.3649010286651	C
25.2260712617564	C
12.4191774546753	C
17.0828283609293	C
15.4289186153039	C
14.8014210019884	C
15.3406465234187	C
12.1369441040787	C
19.4730096941067	C
14.4196838660337	C
15.3168879357732	C
9.03906096995538	C
7.00761209843422	C
17.6070297177076	C
10.897494634719	C
14.4985700683097	C
20.7519105362187	C
10.6820469110643	C
8.48367905633942	C
16.1566888342386	C
20.6570919611989	C
8.91416329699056	C
11.4775579710419	C
11.4211740167423	C
15.4477156434659	C
10.86714370904	C
17.9990106506341	C
25.8695054899467	C
7.24174260900329	C
9.64275954205093	C
11.3654565755089	C
13.303878764532	C
13.1407072331107	C
15.5551883221745	C
19.9832110742161	C
17.8686735808141	C
25.1715485893884	C
5.81373382113264	C
